ApplicantIncome,LoanAmount,CreditScore,EmploymentStatus,LoanTerm,LoanApproved
141958,46523,460,1,48,0
35795,27403,555,1,60,0
20860,23141,622,0,36,0
123694,19820,427,0,12,0
148106,45342,317,1,12,0
139879,11374,622,0,60,0
130268,6678,587,0,60,1
96820,38827,454,0,24,0
74886,21198,789,1,36,0
26265,14914,685,1,36,0
102386,32890,403,1,48,0
148214,27299,692,1,24,1
57194,48585,545,1,24,0
107498,48689,475,1,24,0
132727,47557,338,1,24,0
146324,49020,776,0,36,0
64131,7693,837,0,36,0
80263,34467,707,0,24,0
36023,34723,824,0,48,0
61090,8627,805,0,12,0
87221,30939,335,0,12,0
84820,47941,319,0,48,0
20769,26834,620,1,24,0
79735,23047,811,1,36,1
82955,31105,699,0,12,0
84925,15230,770,0,60,0
141637,20707,442,1,60,0
87969,26976,391,0,48,0
25311,49262,653,0,24,0
123355,28776,350,1,12,0
124724,35080,489,0,24,0
103104,6306,424,1,12,1
73707,11776,449,0,48,0
105305,32251,613,1,48,0
48693,14474,641,1,60,0
91932,45294,604,1,24,0
147723,26959,353,0,60,0
113016,10530,743,1,24,1
126970,34320,563,0,60,0
45658,8748,352,0,36,0
104478,36968,304,0,36,0
142537,37562,402,0,36,0
38431,18545,495,1,36,0
22747,5663,649,1,12,0
143855,39766,346,0,36,0
79150,12994,568,0,48,0
85725,33021,669,1,48,0
149981,35303,405,0,12,0
104654,8304,419,1,36,1
55773,44353,357,0,36,0
139346,22675,645,0,36,0
87435,49417,773,1,60,0
76886,28938,416,0,24,0
86803,28664,426,1,60,0
51551,6636,692,0,24,0
136216,25080,357,0,36,0
31394,32728,812,0,36,0
89092,31736,395,1,60,0
23890,33673,417,0,60,0
61606,42505,787,0,24,0
116276,5854,536,0,48,0
145768,29548,571,0,24,0
100038,43623,488,1,60,0
107313,12392,746,1,60,1
30627,26556,546,0,12,0
28792,43559,375,1,60,0
128859,31309,453,0,12,0
128557,26919,734,0,48,0
93969,9931,385,0,24,0
63001,37970,584,1,24,0
96552,49215,519,1,12,0
43897,17688,368,1,24,0
88148,30342,346,1,60,0
141729,42157,393,1,36,0
144243,7327,752,1,12,1
140923,45772,503,1,24,0
140174,45545,517,1,12,0
43483,5197,773,1,12,1
144358,28509,731,0,36,0
68555,39698,640,1,60,0
145436,49542,588,1,12,0
37159,20087,553,1,24,0
130510,27671,656,1,48,1
126530,30184,322,1,12,0
100077,32848,821,1,12,0
55920,47107,399,1,36,0
112067,25666,479,1,60,0
87121,49357,522,1,48,0
89479,20708,741,1,24,1
109475,31370,624,1,48,0
39457,7811,815,0,24,0
86557,11546,315,0,60,0
97189,39754,635,1,24,0
129109,35206,557,1,36,0
98953,46106,796,0,36,0
72995,16411,459,1,36,0
60757,7911,774,0,36,0
29692,6734,679,0,48,0
65758,23227,844,0,60,0
149425,13680,726,0,24,1
92409,24360,567,0,24,0
91211,23343,716,1,36,0
85697,10759,467,0,36,0
57065,28078,342,1,12,0
112093,40153,584,1,60,0
119299,16111,696,0,48,0
149293,42504,311,0,24,0
52606,6802,601,1,12,0
147791,13155,552,0,12,1
31534,13120,798,0,24,0
114663,44384,334,1,48,0
60397,26918,389,1,12,0
146678,25445,717,0,12,0
111387,35306,414,1,60,0
21016,21646,495,0,48,0
109789,36065,800,0,12,0
75591,30199,792,0,48,0
109812,46976,374,1,24,0
43247,21371,712,1,36,0
44300,16835,675,1,12,0
94065,7049,719,1,60,1
102798,36616,576,1,24,0
29268,43191,693,0,48,0
106807,25932,756,0,24,0
32185,34855,491,0,12,0
83704,12158,398,0,48,0
106779,48016,847,1,36,0
59099,12400,395,0,24,0
28571,47642,489,1,12,0
143372,20151,336,0,60,0
125512,6154,668,1,48,1
58044,9499,824,1,24,0
