Property_Type,Total_Area_sqft,Num_Rooms,Num_Dining_Area,Num_Washrooms,Num_Balconies,Floor_Level,Year_Built,Price_per_sqft,Estimated_Price,Category
Flat,3008,6,1,1,2,16,1990,3000,9367000,Standard
Apartment,3279,2,2,4,2,3,1998,4000,13353000,Standard
House,1424,5,1,3,3,0,2014,3500,5364000,Standard
Flat,3456,2,2,2,2,0,2018,3000,10555000,Standard
Flat,2081,4,2,3,2,14,2005,3000,6553500,Standard
Apartment,3824,6,0,3,0,12,1993,4000,15670500,Luxury
House,4985,1,1,1,3,16,2023,3500,17572000,Luxury
House,755,1,0,1,1,7,2003,3500,2727000,Standard
Flat,2338,5,0,3,2,17,2020,3000,7382000,Standard
Bungalow,2444,4,0,1,1,12,1980,5000,12443000,Standard
Flat,509,3,1,1,1,13,2022,3000,1721000,Standard
Flat,3371,4,1,1,0,7,2001,3000,10331500,Standard
Flat,1297,1,2,4,2,7,2002,3000,4080000,Standard
Flat,1515,1,0,4,3,14,1998,3000,4747000,Standard
Apartment,2324,6,2,3,2,12,1997,4000,9702500,Standard
House,4969,4,0,1,1,6,1991,3500,17620000,Luxury
Apartment,3636,4,1,4,3,4,2007,4000,14900500,Standard
Apartment,2693,1,1,3,2,16,2007,4000,10933500,Standard
Apartment,723,3,1,1,1,15,2012,4000,3081000,Standard
Flat,4658,5,0,2,1,1,1998,3000,14286000,Standard
Bungalow,4425,7,1,1,0,17,2007,5000,22496500,Luxury
House,4500,5,0,1,0,16,2016,3500,16026000,Luxury
Bungalow,2133,4,2,4,0,6,2005,5000,10975500,Standard
Apartment,2652,5,0,3,1,12,2014,4000,10958000,Standard
Apartment,1010,1,2,3,2,17,2013,4000,4204500,Standard
Bungalow,884,1,0,4,0,13,2014,5000,4585000,Standard
Bungalow,904,4,2,1,2,17,2019,5000,4777500,Standard
Bungalow,2500,4,1,2,0,12,1995,5000,12745500,Standard
Apartment,3256,7,2,1,3,10,2017,4000,13445500,Standard
Apartment,2168,7,1,1,3,15,1992,4000,9081000,Standard
House,1960,6,1,2,0,16,2002,3500,7209000,Standard
House,4136,4,2,4,1,7,2001,3500,14799500,Standard
Apartment,3224,3,0,3,0,18,1995,4000,13121500,Standard
Bungalow,4678,5,0,4,0,19,2007,5000,23751500,Luxury
Bungalow,2548,4,0,4,1,14,2014,5000,13070000,Standard
House,4646,2,0,1,3,8,1987,3500,16417500,Luxury
Apartment,1216,6,0,3,2,19,2023,4000,5283500,Standard
House,2323,2,1,3,0,9,2001,3500,8309000,Standard
House,2581,1,0,4,1,11,2000,3500,9206500,Standard
Flat,3919,7,1,2,0,19,2005,3000,12157500,Standard
Flat,2074,5,1,4,1,0,2019,3000,6604500,Standard
Flat,749,4,1,2,2,19,2000,3000,2525000,Standard
Bungalow,1173,2,2,3,2,8,2004,5000,6075000,Standard
Apartment,2665,5,2,4,3,14,2020,4000,11073000,Standard
Apartment,1270,1,1,1,1,0,1980,4000,5153000,Standard
Apartment,4462,7,2,4,1,11,1985,4000,18313500,Luxury
Apartment,4863,3,0,3,3,2,2002,4000,19726000,Luxury
Flat,2484,6,0,1,3,10,2002,3000,7816000,Standard
Bungalow,1577,5,1,1,1,1,2022,5000,8179000,Standard
Bungalow,735,5,0,2,3,15,2022,5000,4029000,Standard
Flat,888,3,1,1,2,8,2002,3000,2863000,Standard
Bungalow,3537,5,1,1,0,14,2011,5000,17958500,Luxury
Flat,2348,1,0,4,2,11,2009,3000,7236500,Standard
Apartment,3314,1,2,3,3,0,1992,4000,13425000,Standard
Flat,3874,3,0,2,1,12,2022,3000,11846000,Standard
Apartment,3778,6,0,4,1,13,1997,4000,15533500,Luxury
Apartment,1752,4,1,1,2,7,2002,4000,7257000,Standard
House,4481,2,1,1,1,7,1994,3500,15813500,Luxury
Flat,2622,4,1,2,3,11,2012,3000,8165000,Standard
