HouseID,Rooms,Size_sqft,Distance_CityCenter,Age_House,Price
1,4,2398,5.64,26,132.44
2,5,1663,19.49,5,94.23
3,2,1542,8.47,3,71.01
4,4,2064,17.95,23,85.71
5,4,1363,12.99,29,55.69
6,5,1820,16.1,11,96.1
7,2,895,10.55,11,30.49
8,2,1284,11.96,18,42.52
9,4,2230,10.36,15,120.46
10,3,1030,4.71,12,64.95
11,4,1548,14.73,9,80.73
12,4,2478,6.33,10,141.11
13,4,1994,1.46,26,122.36
14,4,1340,13.26,12,70.42
15,5,1859,4.37,17,125.3
16,2,1324,18.87,29,22.41
17,5,1983,19.12,6,108.18
18,5,2066,18.38,7,117.65
19,5,1909,8.03,14,105.15
20,4,1377,1.29,13,92.59
21,3,1481,18.64,8,63.34
22,2,1356,9.14,10,67.58
23,3,2397,19.37,9,104.93
24,5,1812,19.31,18,87.83
25,5,1445,17.21,27,74.28
26,3,1595,6.59,26,82.14
27,3,1851,8.32,2,99.97
28,3,2443,17.17,5,114.39
29,5,2379,7.02,29,133.51
30,5,2163,4.22,5,154.3
31,2,2154,11.58,6,104.07
32,2,2463,18.79,19,89.85
33,5,2329,14.22,8,132.71
34,3,2171,11.83,16,92.67
35,3,2296,2.85,13,133.54
36,2,2054,12.69,1,99.75
37,5,989,19.81,22,48.29
38,2,2048,3.66,20,98.36
39,2,2208,10.85,17,95.74
40,4,2200,17.67,7,106.65
41,4,2106,15.07,25,89.42
42,4,1432,14.24,13,69.71
43,3,1427,14.35,4,60.35
44,5,1772,7.83,4,124.31
45,5,2082,6.58,6,125.27
46,5,2182,16.38,28,114.1
47,5,1509,16.39,19,68.65
48,4,2279,17.47,29,103.31
49,3,2234,18.35,12,90.86
50,3,1448,10.72,22,66.17
51,4,1117,10.53,7,65.43
52,3,2048,16.17,27,86.83
53,4,2057,13.35,10,108.37
54,5,1483,14.34,26,80.04
55,4,1463,16.12,19,66.09
56,5,2197,17.91,7,120.19
57,5,2495,7.42,3,160.59
58,2,2431,8.14,13,112.23
59,4,2295,2.79,13,132.37
60,2,2056,11.99,18,77.91
61,4,1936,1.68,28,111.29
62,4,2320,9.85,26,113.06
63,2,1241,11.31,20,32.7
64,2,1363,6.44,28,55.43
65,4,2091,12.23,8,107.6
66,3,2333,1.58,29,114.49
67,5,2209,1.71,9,149.62
68,2,2210,16.63,7,87.14
69,5,1936,7.84,1,130.93
70,3,2436,3.41,3,152.45
71,3,2448,10.92,13,118.26
72,3,1751,15.63,28,58.59
73,2,1904,5.1,25,85.91
74,3,1498,12.83,28,52.96
75,2,912,2.62,17,46.88
76,3,801,1.98,25,47.67
77,5,1441,11.1,24,80.47
78,5,1019,11.27,1,77.89
79,4,2389,13.11,6,129.39
80,5,1654,14.8,21,94.29
81,4,2048,19.54,6,97.26
82,5,1184,10.81,26,67.42
83,2,2226,7.14,12,111.75
84,5,2461,16.11,13,132.79
85,4,1953,6.15,13,113.16
86,4,1876,9.34,29,96.43
87,3,1529,2.49,15,85.11
88,2,2495,1.48,21,123.86
89,5,2239,19.29,16,106.71
90,3,1046,16.88,22,33.82
91,5,1635,14.22,21,92.46
92,5,2262,8.77,11,137.88
93,3,1002,4.29,28,49.5
94,3,2007,3.97,5,114.03
95,3,922,5.75,4,57.89
96,3,1200,11.44,3,58.75
97,3,1566,14.58,19,53.06
98,5,1093,13.54,20,59.61
99,3,1079,6.32,25,49.82
