CustomerID,Age,Income,SpendingScore,Purchase
1,56,50342,5,1
2,46,62157,68,0
3,32,92863,6,1
4,25,77083,96,1
5,38,90733,94,0
6,56,114045,47,1
7,36,59698,99,0
8,40,105623,55,1
9,28,47671,40,1
10,28,50184,52,0
11,41,118384,16,0
12,53,67107,13,0
13,57,111202,30,1
14,41,76663,19,0
15,20,40708,17,1
16,39,116906,63,1
17,19,74811,19,0
18,41,27811,92,0
19,47,81250,58,1
20,55,97082,55,1
21,19,59754,90,0
22,38,36411,90,0
23,50,27911,62,0
24,29,92270,23,0
25,39,108763,9,0
26,42,33680,12,1
27,44,109896,1,1
28,59,108879,58,1
29,45,96295,1,1
30,33,113614,34,0
31,32,36111,96,0
32,20,62504,48,0
33,54,26802,89,1
34,24,33155,1,1
35,38,98656,16,0
36,26,64384,61,0
37,56,72254,64,1
38,35,46918,63,1
39,21,110981,69,0
40,42,85713,22,0
41,31,55306,93,1
42,26,41646,67,0
43,43,71843,76,0
44,19,115735,26,0
45,37,41371,16,1
46,45,102371,51,1
47,24,27049,86,1
48,25,56616,57,1
49,52,45932,29,1
50,31,54855,78,1
51,34,86434,92,1
52,53,97694,69,0
53,57,68016,47,0
54,21,32400,94,0
55,19,67642,62,0
56,23,40151,69,0
57,59,76407,76,0
58,21,91690,16,0
59,46,29499,90,1
60,35,31295,90,1
61,43,84040,48,0
62,51,37183,85,0
63,27,54299,39,1
64,53,37874,33,0
65,31,57711,94,0
66,48,30539,23,1
67,32,78351,10,0
68,25,86267,69,1
69,31,73354,34,0
70,40,27557,52,1
71,57,63360,95,1
72,38,107018,10,1
73,33,27200,19,0
74,35,93497,58,1
75,41,71975,96,0
76,43,46357,1,0
77,42,102505,69,0
78,58,27869,4,0
79,46,86135,16,1
80,32,75108,24,1
81,18,119179,80,0
82,42,115272,2,0
83,24,63467,92,1
84,26,48328,32,0
85,41,116412,91,1
86,18,111831,84,0
87,25,28987,24,0
88,41,83871,12,1
89,28,47399,50,0
90,34,71214,35,1
91,25,111416,33,0
92,52,95271,33,0
93,52,69064,61,0
94,50,95091,51,1
95,22,65818,43,0
96,59,70525,12,0
97,56,44830,67,0
98,58,42429,65,0
99,45,31893,33,1
100,24,104909,40,1
101,26,72333,74,0
102,25,28436,43,1
103,29,99290,44,0
104,51,101213,29,0
105,50,30895,13,0
106,40,44738,12,1
107,41,55746,95,1
108,54,74377,46,1
109,52,73404,2,1
110,57,79045,35,1
111,39,64790,87,1
112,44,30600,81,1
113,52,119660,90,1
114,18,118179,8,1
115,52,65764,93,0
116,54,99543,26,1
117,31,70714,74,1
118,20,81835,90,1
119,18,98744,34,1
120,22,81491,7,1
121,43,43589,68,1
122,31,68484,58,1
123,56,107989,75,1
124,44,61212,29,1
125,26,68525,36,1
126,32,72202,89,1
127,32,57635,21,0
128,43,88208,36,0
129,59,58828,10,1
130,30,43711,73,1
131,49,28420,24,0
132,56,25301,64,1
133,49,70236,99,0
134,21,91235,49,0
135,47,79240,99,0
136,54,90726,36,0
137,40,35492,82,0
138,56,31102,96,1
139,32,75336,24,0
140,46,110314,23,1
141,53,51641,62,1
142,30,59584,96,0
143,49,57745,37,0
144,24,48093,12,1
145,39,91105,55,0
146,45,76885,13,0
147,19,61631,23,1
148,59,97991,89,1
149,23,29014,99,0
150,45,36093,30,1
151,45,43070,17,0
152,37,60777,62,0
153,47,81958,84,0
154,28,107074,89,1
155,45,35729,86,1
156,42,70017,13,1
157,56,91320,59,1
158,50,52751,19,1
159,18,103069,49,0
160,44,79748,12,0
161,30,30801,61,0
162,58,44190,19,0
163,20,74689,76,1
164,56,75993,9,0
165,23,54592,71,1
166,25,35647,28,0
167,44,33716,78,1
168,26,113891,95,1
169,54,112545,52,0
170,50,114912,83,0
171,59,95316,16,0
172,41,27368,69,0
173,32,102575,99,1
174,49,31655,12,0
175,49,95031,25,0
176,41,101429,52,1
177,58,116083,85,0
178,29,112922,53,0
179,56,80766,23,0
180,19,38403,16,0
181,20,57097,57,0
182,54,103657,39,1
183,34,35966,53,0
184,19,118848,42,0
185,19,77921,58,0
186,45,74726,39,0
187,40,75300,14,0
188,54,47677,95,1
189,49,80609,5,0
190,50,81661,35,1
191,18,56024,87,1
192,36,95313,93,0
193,19,78006,75,0
194,43,40338,18,0
195,49,93027,76,0
196,23,117772,9,1
197,49,105135,74,0
198,21,44508,58,0
199,28,28051,17,0
200,34,73747,7,0
