HouseID,Rooms,Size_sqft,Distance_CityCenter,Age_House,Price
1,2,2097,12.78,26,118.51
2,2,2329,11.14,14,58.65
3,3,1605,17.98,2,43.26
4,3,1538,15.98,28,72.55
5,4,1838,3.88,22,64.47
6,2,2015,6.92,11,65.56
7,2,2454,5.72,1,58.03
8,3,1284,15.13,19,35.05
9,2,827,1.64,21,32.14
10,3,1513,11.83,4,148.53
11,2,1862,15.49,19,81.33
12,4,2096,17.66,26,76.12
13,2,2054,7.5,29,111.56
14,2,885,16.6,21,56.19
15,5,2297,3.1,11,144.0
16,3,925,17.08,8,124.36
17,2,1611,3.42,11,40.73
18,2,1336,8.55,4,80.11
19,5,944,16.15,17,135.49
20,5,2348,3.85,27,143.37
21,3,2035,5.36,7,86.09
22,5,824,14.72,8,103.61
23,4,2403,14.68,3,50.04
24,5,2217,13.18,22,148.94
25,4,866,14.19,2,57.8
26,3,1032,11.31,23,143.13
27,3,908,5.78,15,107.96
28,3,1969,7.57,24,102.93
29,3,910,4.45,22,91.52
30,3,1027,18.26,22,57.68
31,4,910,12.08,5,51.18
32,4,2293,8.62,24,56.46
33,3,833,9.78,1,52.37
34,5,1422,19.0,26,123.55
35,2,2192,3.91,4,72.02
36,3,1547,12.14,15,36.94
37,5,1394,10.61,20,146.29
38,2,2377,12.62,19,136.05
39,3,1224,1.34,3,141.33
40,3,1412,17.57,20,149.39
41,4,2341,18.71,11,50.87
42,2,1491,11.74,17,77.55
43,2,2105,14.24,27,120.99
44,5,2143,18.53,13,113.52
45,4,2266,14.44,11,48.47
46,4,1114,3.9,2,127.9
47,4,1676,11.95,9,56.93
48,4,2200,12.53,26,56.86
49,2,2112,9.06,2,94.44
50,2,2260,14.99,21,101.15
51,3,1461,18.75,9,99.61
52,3,1076,18.59,9,40.98
53,4,2405,9.57,8,135.3
54,4,2326,3.15,17,61.87
55,4,1423,19.71,1,45.54
56,3,1315,16.94,25,136.65
57,5,2173,3.37,29,144.68
58,5,1642,18.5,11,133.46
59,3,2269,17.53,8,127.14
60,3,1149,10.86,10,108.63
61,3,2430,12.23,25,96.1
62,3,2487,8.58,7,40.44
63,3,1622,2.04,3,79.01
64,3,1960,7.37,3,74.72
65,4,1558,16.25,18,61.17
66,4,1698,1.09,5,116.81
67,4,1042,7.34,12,89.51
68,4,1342,8.57,12,39.73
69,3,1863,11.21,19,56.42
70,5,1028,18.48,6,111.99
71,2,1347,7.58,2,39.14
72,3,1719,7.59,12,132.14
73,2,2046,15.01,19,89.42
74,5,805,9.59,5,87.67
75,4,2145,5.27,12,101.09
76,5,1267,9.6,27,128.96
77,3,874,3.68,27,71.74
78,4,803,4.35,17,111.36
79,3,1445,10.47,29,97.89
80,4,917,8.96,17,62.04
81,2,1680,18.38,10,135.44
82,2,2429,7.89,25,125.69
83,2,1303,12.03,23,109.01
84,5,1746,13.01,17,132.07
85,3,1373,1.25,15,134.08
86,5,2264,13.61,12,115.0
87,2,993,4.38,16,130.44
88,3,1646,19.26,24,113.7
89,2,1514,3.82,19,111.62
90,5,2215,8.88,8,104.23
91,5,1849,2.62,21,120.33
92,5,2258,19.94,17,49.03
93,2,972,10.54,23,135.7
94,3,2123,12.31,5,134.62
95,3,2468,2.27,22,33.51
96,2,1125,15.25,16,129.1
97,3,2233,4.99,6,45.46
98,2,1941,18.06,8,70.21
99,3,1635,4.9,25,119.22
100,4,1523,4.62,18,49.29
101,4,1024,1.69,25,128.16
102,5,1331,9.97,12,129.86
103,4,912,11.73,15,90.9
104,4,939,2.25,27,30.77
105,4,1358,15.74,26,64.44
106,2,800,9.61,9,104.03
107,4,889,10.96,13,147.74
108,4,1453,9.37,26,105.82
109,5,1119,8.61,15,61.18
110,4,2373,11.63,10,106.08
111,4,938,3.95,16,94.8
112,3,2334,4.46,7,123.58
113,5,1644,17.37,17,42.84
114,5,1058,18.98,23,121.32
115,5,2496,8.09,26,94.95
116,5,1701,6.14,21,145.56
117,5,1489,13.24,22,71.02
118,5,809,8.77,26,105.91
119,2,1060,1.48,7,141.84
120,4,2473,3.97,14,42.3
121,5,971,14.6,15,142.47
122,4,1697,13.52,21,112.55
123,4,812,1.51,7,38.14
124,2,1991,5.22,9,66.12
125,5,2465,5.39,19,114.98
126,3,2419,13.77,16,38.08
127,2,1120,1.37,8,99.86
128,3,2142,2.98,18,71.51
129,4,2436,16.2,27,104.51
130,4,1128,4.39,23,35.49
131,2,1584,13.4,29,134.58
132,2,1576,5.53,18,146.82
133,3,1710,2.89,20,146.27
134,5,2373,5.62,7,119.96
135,3,2242,14.72,3,45.61
136,2,2429,17.26,18,120.99
137,3,1918,16.77,27,32.95
138,2,2404,8.55,10,32.65
139,3,1117,13.69,7,68.83
140,2,1035,4.89,17,88.64
141,2,1133,6.57,14,122.45
142,2,1175,18.03,24,112.0
143,5,2282,1.25,3,83.51
144,3,1960,2.62,12,62.84
145,3,1387,4.95,28,149.65
146,3,2370,1.5,13,81.14
147,2,1312,4.45,2,84.17
148,3,2119,12.08,3,49.63
149,3,2143,9.01,5,125.38
150,2,1717,17.96,11,113.24
151,4,2395,16.53,8,56.49
152,2,2172,7.49,26,39.89
153,3,1672,5.93,23,111.66
154,2,2052,8.21,23,108.54
155,4,1069,12.22,12,62.79
156,2,1597,6.09,7,144.1
157,3,2114,12.86,15,48.13
158,4,1524,8.78,24,81.88
159,5,1988,11.49,17,143.23
160,3,804,9.29,4,80.37
161,4,1650,6.59,29,106.62
162,4,2202,19.02,22,77.71
163,5,877,15.51,25,62.91
164,2,2233,3.66,13,148.08
165,2,1373,17.5,18,79.12
166,3,931,10.26,1,137.29
167,5,1400,18.0,16,57.59
168,2,1865,16.2,13,55.57
169,5,888,9.08,10,33.74
170,2,1201,1.43,12,108.2
171,4,1095,6.1,2,74.22
172,2,2118,11.29,23,133.72
173,5,1415,13.04,3,86.79
174,4,2349,5.9,10,146.18
175,4,1599,3.65,2,52.26
176,4,2460,16.86,27,134.23
177,5,1221,19.7,23,123.19
178,3,1846,10.99,13,122.51
179,3,1374,4.26,13,131.37
180,3,942,6.17,18,121.32
181,5,1792,1.35,3,105.15
182,4,1464,18.37,27,45.75
183,3,944,3.24,7,33.9
184,5,2048,11.95,14,140.5
185,3,1806,6.21,20,104.0
186,2,1302,11.53,29,125.58
187,3,1620,13.38,17,87.78
188,3,2439,16.77,29,44.08
189,4,903,4.92,21,45.02
190,5,1862,1.21,12,112.27
191,4,997,3.6,25,81.64
192,4,2469,18.1,16,54.06
193,4,1378,17.6,24,88.99
194,4,1190,12.35,12,37.71
195,4,2002,12.41,15,99.84
196,3,1353,13.64,25,62.28
197,4,2271,4.33,10,125.71
198,4,2323,18.37,25,67.24
199,5,1838,8.96,7,84.63
200,2,2446,8.28,20,31.39
