HoursStudied,Attendance,CGPA,AssignmentsSubmitted,Pass
9,99.6,4.2,8,1
1,61.6,4.47,0,0
11,97.1,6.38,0,1
5,82.5,4.8,0,0
10,80.4,7.41,2,1
0,75.6,8.14,5,0
2,61.5,8.8,9,1
4,58.8,5.2,2,0
3,61.0,5.0,7,0
2,59.3,4.63,9,0
9,89.0,7.82,1,0
4,67.5,8.24,8,1
10,52.9,4.19,2,0
7,98.5,9.62,4,1
10,94.2,4.31,9,1
3,96.4,7.25,7,1
0,99.7,8.25,1,0
10,58.7,9.23,5,1
6,69.8,8.28,4,0
7,87.9,8.81,9,1
2,84.8,6.04,8,0
5,57.7,8.89,4,0
1,90.8,4.48,1,0
6,61.2,9.37,4,1
7,61.2,7.29,3,0
5,76.8,8.9,6,1
5,79.6,6.71,5,0
4,79.0,7.86,1,0
7,54.6,7.16,4,0
0,93.9,8.39,6,0
9,63.3,4.49,6,0
3,56.5,4.36,4,0
3,94.4,5.48,8,1
2,97.8,4.96,3,0
2,93.1,9.23,2,0
3,90.5,5.32,3,0
10,82.8,9.86,4,1
0,77.5,6.02,5,0
10,54.3,5.09,2,0
10,70.4,8.74,1,1
1,68.6,7.95,3,0
8,63.0,6.99,4,0
9,86.2,7.33,3,1
1,74.8,8.32,2,0
4,54.1,5.37,7,0
8,61.0,9.98,9,1
8,84.2,9.85,3,1
7,53.8,7.9,1,0
0,92.6,5.2,1,0
0,74.8,8.08,0,0
8,74.0,4.43,3,0
10,79.6,4.18,9,1
7,91.2,5.55,8,1
9,67.4,6.78,6,1
8,83.9,9.21,9,1
6,78.3,8.36,6,1
2,63.4,8.46,6,0
2,93.9,6.55,7,0
1,89.9,6.08,0,0
4,82.9,6.23,9,1
11,92.5,9.93,9,1
11,93.4,4.24,7,1
2,85.4,9.2,3,0
5,91.9,7.47,3,0
1,84.9,6.63,3,0
11,84.0,8.35,5,1
2,80.9,6.92,6,0
4,87.6,9.24,5,1
11,57.9,9.4,0,0
10,94.0,6.53,7,1
10,93.6,5.66,9,1
0,51.5,7.55,6,0
0,91.3,9.47,5,0
9,56.4,5.26,5,0
8,66.8,7.74,4,1
6,87.2,7.79,5,1
0,58.0,8.4,8,0
11,90.9,4.79,9,1
7,91.6,8.29,8,1
2,75.4,9.45,9,1
7,50.3,5.08,7,0
4,64.4,5.43,9,1
0,80.8,9.83,8,1
6,99.1,5.09,9,1
4,81.6,9.13,7,1
5,63.0,6.95,7,0
5,81.7,5.48,0,0
7,77.0,9.22,9,1
8,89.0,6.67,4,1
1,55.3,7.09,3,0
8,88.1,6.16,1,0
11,77.1,7.56,7,1
10,98.1,4.98,2,1
9,67.1,6.35,3,0
8,81.6,9.82,6,1
9,96.6,5.55,9,1
9,55.1,7.94,8,1
6,96.9,5.95,1,0
0,84.4,8.64,2,0
6,53.4,4.79,3,0
9,65.0,9.82,9,1
4,85.4,6.72,0,0
5,53.4,5.42,6,0
9,79.1,4.44,1,0
6,67.3,5.02,4,0
4,81.0,7.12,0,0
6,52.3,6.02,2,0
8,93.6,8.97,1,1
2,98.7,6.59,0,0
7,98.4,5.49,6,1
1,87.5,7.7,4,0
10,56.5,8.24,0,0
6,87.9,5.0,5,0
1,51.2,5.01,4,0
3,51.1,4.22,2,0
6,66.2,8.42,6,1
2,74.4,7.98,9,1
1,88.5,6.85,8,0
10,84.2,9.07,8,1
9,72.3,8.83,8,1
6,63.7,7.51,1,0
0,99.9,9.21,2,0
7,71.3,5.24,6,0
2,72.6,4.67,4,0
11,58.2,5.62,1,0
11,89.7,4.34,2,1
1,84.7,7.19,9,0
2,61.0,9.62,5,0
4,54.1,4.24,6,0
10,84.0,4.73,8,1
7,82.7,6.71,0,0
9,63.7,9.6,6,1
6,97.5,5.9,7,1
6,57.6,7.04,2,0
11,71.6,4.25,3,0
6,97.2,4.89,9,1
7,71.0,9.92,5,1
0,81.9,9.79,9,1
3,69.9,4.03,6,0
5,63.7,9.71,3,0
8,99.2,7.83,7,1
1,70.5,9.21,4,0
0,94.7,6.73,0,0
9,61.5,7.09,3,0
11,60.7,6.93,2,0
1,51.6,8.0,8,0
6,82.6,4.84,7,1
2,68.4,4.18,0,0
9,93.2,5.85,5,1
1,73.7,8.23,8,0
10,98.4,5.21,6,1
6,59.3,8.04,3,0
1,93.4,9.82,0,0
2,88.8,4.56,1,0
10,88.5,8.04,4,1
6,92.2,6.66,4,1
3,88.1,9.21,7,1
0,81.3,5.06,5,0
4,56.6,8.16,7,0
11,51.6,9.03,1,0
8,96.0,9.67,2,1
7,80.8,8.1,5,1
11,89.8,6.98,9,1
8,74.1,7.71,2,1
9,55.9,9.21,5,1
8,56.3,7.42,5,1
6,84.3,4.18,1,0
3,71.5,9.59,6,1
4,60.0,8.14,1,0
0,74.6,8.06,5,0
0,53.2,5.29,0,0
2,79.1,7.95,2,0
7,63.4,6.36,1,0
1,89.9,7.91,6,0
3,65.5,4.64,3,0
1,72.8,7.95,7,0
4,50.6,10.0,5,0
8,53.6,4.29,9,1
0,69.6,9.86,3,0
4,74.0,6.44,4,0
8,80.0,9.22,8,1
0,64.6,8.69,6,0
8,84.7,7.4,9,1
7,93.0,8.43,8,1
3,89.0,9.27,6,1
11,52.0,6.42,0,0
10,74.0,5.96,7,1
9,55.2,8.01,3,1
4,62.1,8.85,2,0
4,99.3,8.57,6,1
10,57.1,8.79,2,0
11,74.9,6.61,7,1
5,80.9,8.91,5,1
6,85.1,4.72,4,0
7,78.0,7.27,3,0
7,50.5,4.03,7,0
10,66.3,5.95,7,1
1,75.9,6.2,0,0
8,54.4,6.38,8,1
6,67.5,8.17,4,0
