EmpID,YearsExperience,Dept,Salary
1,6.49,Finance,60906.28652377082
2,4.59,Marketing,38108.488789953
3,6.94,Sales,72716.20446681997
4,9.57,HR,89569.28682899394
5,4.3,HR,41407.54148291639
6,4.3,Sales,42848.45112778443
7,9.74,Sales,86441.64608807303
8,7.3,HR,72403.40986236234
9,3.59,Sales,33501.50412324774
10,6.63,Engineering,
11,3.61,Marketing,32122.519220845043
12,,Marketing,39606.952206584494
13,5.73,Marketing,
14,-0.74,Engineering,
15,-0.17,Sales,-3406.9123569994435
16,3.31,Finance,31383.318411396376
17,1.96,Sales,12819.979794243649
18,5.94,HR,51837.434582601025
19,2.28,,24006.45475209428
20,0.76,Marketing,12617.629525315755
21,9.4,Sales,101045.40567125041
22,4.32,Finance,39141.528754398176
23,5.2,HR,
24,0.73,Engineering,10462.464797230054
25,3.37,Engineering,25271.778012984927
26,5.33,Finance,51710.162084219584
27,1.55,HR,
28,6.13,Marketing,57284.65245663865
29,3.2,Sales,34806.8403534265
30,,HR,37236.530526948096
31,3.19,Engineering,33924.281483488136
32,10.56,Finance,101226.1052236862
33,4.96,Finance,36173.33761448943
34,1.83,Sales,12277.448148560823
35,7.47,Finance,60708.6299193494
36,1.34,Finance,22299.672134240755
37,5.63,HR,51113.52893964331
38,-0.88,Marketing,832.4533581173418
39,1.02,Sales,1191.064234619842
40,5.59,HR,48409.75132105477
41,7.22,Marketing,70227.06091620325
42,5.51,HR,51436.17621986574
43,4.65,,45315.857516600016
44,4.1,HR,31337.708941869016
45,0.56,Finance,12020.549186850203
46,2.84,Marketing,29934.63421409675
47,3.62,Sales,35212.13616190219
48,8.17,Sales,71510.27747398715
49,6.03,Marketing,56928.44043518507
50,-0.29,Finance,-4117.439536953363
51,5.97,Engineering,46506.64106241772
52,3.84,HR,34969.81755251635
53,,Finance,
54,6.84,,68051.07358793986
55,8.09,Marketing,63032.406421760104
56,7.79,HR,72628.82435486058
57,2.48,Sales,16969.657387488864
58,4.07,Engineering,38927.695479538634
59,,,56813.94495200933
60,7.93,Sales,72302.73425555
61,3.56,Marketing,36690.13157395144
62,4.44,HR,34496.5283611134
63,1.68,Marketing,20948.197418775162
64,1.41,HR,9392.658755926312
65,7.44,Finance,60462.999631602885
66,9.07,Engineering,81831.4892951293
67,4.78,Finance,33368.179588988554
68,8.01,Finance,74741.61784849704
69,6.08,Marketing,54471.80648804489
70,3.06,Engineering,34235.911518869456
71,6.08,HR,59012.67975348099
72,9.61,HR,81186.57162262758
73,4.89,,40660.99133513853
74,9.69,Sales,91483.66565730376
75,-2.86,,-21997.606246901403
76,7.47,,74630.16880076115
77,5.26,HR,54319.255105305696
78,4.1,Marketing,37159.13705959578
79,5.28,Finance,50243.43435155107
80,-0.96,Finance,-2311.7904330619667
81,4.34,Finance,38291.5785393508
82,6.07,Engineering,57574.9658548885
